Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"H-1-2-1.raw"	2012-10-20T04:19:40Z	0.140713	12.2645	16.0702	24.2814	1.2049	1.21125	6.2239	7199.38	0.135456	0.281288	0.357798	0.225458	0.26162	0.249443	0.246884	0.242053	0.200814	0.182908	0.235844	0.380434	0.897157	0.79167	3.41455	0.354606	0.538454	2.53999	8259	1.20785	1795	2130	2343	7462	3.80909	162	250	404	0	0.683061	0.305012	0.00844278	0.00134012	0.0021442	0	0
"H1-1-1.raw"	2012-10-20T06:31:34Z	0.150127	9.62517	12.7559	20.2613	1.17248	1.23135	6.9523	7199.42	0.137407	0.286652	0.352828	0.223112	0.256446	0.245827	0.250367	0.24736	0.231223	0.239605	0.240157	0.289015	0.845068	0.774622	3.34368	0.325735	0.54058	2.61331	8138	1.20712	1784	2094	2323	8646	3.84549	154	234	379	0	0.588365	0.377053	0.0307657	0.000809623	0.00300717	0	0
"H1-1-10_121020030745.raw"	2012-10-20T02:07:45Z	0.152315	17.729	25.1928	33.6521	1.26469	1.1403	5.28411	7199.43	0.19415	0.0628254	0.195817	0.547208	0.241344	0.310002	0.241394	0.20726	0.246065	0.173004	0.199614	0.381318	1.25498	1.3834	4.98704	0.695382	1.10341	2.42756	6590	1.20657	2145.25	2548	2802.75	17779	3.99111	203	370	613	5.62461e-05	0.594353	0.354632	0.0458406	0.00264357	0.00247483	0	0
"H1-1-2_121019114606.raw"	2012-10-19T10:46:06Z	0.124218	15.4239	22.5782	32.8587	1.17383	1.1497	5.80604	7199.54	0.120847	0.104394	0.458804	0.315956	0.276899	0.244743	0.239415	0.238943	0.14245	0.110845	0.205771	0.540934	0.812404	0.753341	3.45665	0.24817	0.500193	2.94378	8155	1.20873	1916.5	2166	2381	7511	4.27762	197	329	538	0.000133138	0.748103	0.236453	0.00798828	0.00213021	0.00519238	0	0
"H1-1-3_121019135728.raw"	2012-10-19T12:57:28Z	0.123577	22.6039	31.1744	37.7508	1.18042	1.20309	4.98262	7199.44	0.119797	0.0886299	0.205014	0.586559	0.28598	0.266451	0.225236	0.222333	0.175178	0.141701	0.200836	0.482286	0.933171	1.06217	5.63307	0.388373	0.873319	2.88024	7535	1.21151	2112	2376	2656.5	12737	4.27744	185	313	500	0	0.627777	0.331318	0.0334459	0.00416111	0.00329748	0	0
"H1-1-4_121019160925.raw"	2012-10-19T15:09:25Z	0.137827	15.4077	22.8121	31.946	1.19078	1.12378	4.89477	7199.16	0.117682	0.081103	0.23984	0.561375	0.243743	0.300225	0.256767	0.199265	0.24032	0.190162	0.21955	0.349968	0.958576	1.0338	3.16251	0.530753	0.742241	2.46737	6415	1.20291	2461	2883	3399.5	17950	3.97668	213	384.5	593	0	0.550696	0.377103	0.0567131	0.0104735	0.00501393	0	0
"H1-1-5_121019060624.raw"	2012-10-19T05:06:24Z	0.138679	23.8509	30.0348	35.09	1.05839	1.05369	4.7221	7199.49	0.122512	0.0613096	0.14768	0.668498	0.269544	0.302315	0.222724	0.205417	0.201059	0.162263	0.20545	0.431228	1.04596	1.30115	5.43079	0.421153	1.23223	2.69336	6841	1.20841	2255	2627	2948	16037	3.92927	201	364	591	0	0.594563	0.351936	0.046268	0.00498846	0.00224481	0	0
"H1-1-6_121019182102.raw"	2012-10-19T17:21:02Z	0.149764	17.2149	25.9578	36.4108	1.20606	1.19917	4.02441	7199.5	0.201629	0.0930025	0.172027	0.533341	0.207199	0.255574	0.309035	0.228192	0.282086	0.21995	0.201206	0.296758	1.34782	1.15046	4.03088	1.43064	0.805387	1.35908	5628	1.19956	2522	2965	3864	22502	4.39039	192	330	564	0	0.455115	0.428051	0.0879477	0.0224424	0.00644387	0	0
"H1-1-7_121019203245.raw"	2012-10-19T19:32:45Z	0.169901	14.9354	20.514	30.1075	1.12363	1.08709	5.04574	7199.31	0.181271	0.102169	0.166835	0.549725	0.214656	0.2792	0.287197	0.218947	0.272549	0.206957	0.214713	0.305781	1.20974	1.20758	4.31879	0.952194	1.00074	1.51984	5733	1.20406	2497	2959	3496	22207	4.49478	202	364	591	0	0.434998	0.449183	0.0949701	0.0161661	0.00468321	0	0
"H1-1-8_121019224422.raw"	2012-10-19T21:44:22Z	0.171136	14.3136	19.7084	29.7608	1.17014	1.10458	4.00866	7199.02	0.128399	0.0776156	0.14939	0.644596	0.214618	0.292015	0.298399	0.194968	0.271363	0.197958	0.203189	0.327491	1.2593	1.28347	2.90351	1.08587	1.13942	1.77413	5816	1.20398	2653.75	3112	3658	21217	4.23332	225	400	644	0	0.440779	0.444031	0.092473	0.0172032	0.00551445	0	0
"H1-1-9_121020005556.raw"	2012-10-19T23:55:56Z	0.162373	17.8962	24.6687	31.7618	1.06998	1.02541	4.85818	7200.3	0.117466	0.0662056	0.166827	0.649501	0.241826	0.326231	0.238001	0.193942	0.24488	0.172885	0.191835	0.390401	1.1926	1.40504	4.92976	0.792187	1.17753	2.15063	6342	1.2081	2277.25	2714.5	2991	18673	4.26915	213	384	626	0	0.545815	0.402774	0.0458951	0.00364162	0.00187436	0	0
"H1-2-10.raw"	2012-10-21T02:19:20Z	0.161287	15.5364	22.1395	33.4392	1.36506	1.40268	5.71504	7200.26	0.19768	0.109135	0.428005	0.265179	0.213164	0.282545	0.292895	0.211396	0.273919	0.202864	0.214379	0.308838	1.0976	1.03745	4.44515	0.542084	0.766193	1.99665	5830	1.19913	2178.25	2610	2992.75	21316	4.33108	178	311	528	0	0.497561	0.449521	0.048602	0.00281479	0.00150122	0	0
"H1-2-2.raw"	2012-10-20T08:43:29Z	0.137777	12.567	17.0128	28.0185	1.22252	1.25252	4.49362	7199.08	0.157865	0.431066	0.211968	0.199102	0.267547	0.246323	0.241785	0.244345	0.139134	0.136763	0.28842	0.435683	0.856136	0.767417	4.26918	0.327708	0.582524	2.9305	8284	1.20953	1617.75	1900	2139	6721	4.36168	158	235	400	0.000297575	0.804493	0.185835	0.00654664	0.000892724	0.00193424	0	0
"H1-2-3.raw"	2012-10-20T10:55:24Z	0.135561	24.521	32.0334	38.2917	1.19608	1.07843	5.12947	7199.13	0.10852	0.0887454	0.445747	0.356988	0.29108	0.256453	0.225964	0.226503	0.154172	0.11278	0.139708	0.59334	0.942256	1.10238	5.69359	0.469662	0.877758	2.81314	7728	1.21035	1748	2005	2246	10416	4.39711	170	285.5	486	9.60061e-05	0.66225	0.303187	0.0294739	0.0031682	0.00182412	0	0
"H1-2-4.raw"	2012-10-20T13:07:23Z	0.148255	22.6148	30.3309	37.4169	1.12688	1.01624	4.73206	7199.83	0.193442	0.0978479	0.263322	0.445388	0.270441	0.308575	0.219911	0.201074	0.206102	0.168496	0.176054	0.449348	1.12925	1.26402	4.75938	0.617143	1.37069	1.93571	6715	1.20729	1975.5	2395	2675.5	16701	4.70966	190	323	516	5.98767e-05	0.545057	0.38357	0.0625711	0.00688582	0.00185618	0	0
"H1-2-5.raw"	2012-10-20T15:19:24Z	0.143279	21.0547	29.8313	37.9332	1.09734	1.15441	4.99217	7199.4	0.206396	0.129884	0.28441	0.379309	0.227351	0.28572	0.285525	0.201404	0.257638	0.207765	0.201152	0.333446	1.22784	0.96325	4.42363	1.00946	0.669797	1.65538	5822	1.20063	2460.75	2963	3612.75	21657	4.7447	190	331	548	0	0.49402	0.41026	0.0703237	0.0174078	0.00798818	0	0
"H1-2-6.raw"	2012-10-20T17:31:25Z	0.147219	19.2969	28.6401	38.4153	1.27529	1.2104	4.05057	7199.64	0.296264	0.121373	0.199315	0.383048	0.220264	0.259167	0.287986	0.232583	0.273898	0.219077	0.218926	0.288099	1.15834	1.0641	3.69174	1.06863	0.781434	1.04512	5794	1.17998	2530	2941	3479	22830	4.32576	179	295	479	0	0.440298	0.442225	0.0914148	0.0207184	0.00534385	0	0
"H1-2-7.raw"	2012-10-20T19:43:26Z	0.151604	19.3588	29.0989	38.3892	1.13807	1.05359	4.67855	7200.28	0.392352	0.158434	0.162494	0.28672	0.216806	0.264396	0.274613	0.244185	0.281958	0.217653	0.230155	0.270235	1.08303	0.948023	3.47129	1.33431	0.643229	0.933533	5618	1.18102	2634	3071	3360	24465	4.63166	167	267	427	0	0.425506	0.469405	0.0905375	0.0112814	0.00326998	0	0
"H1-2-8.raw"	2012-10-20T21:55:31Z	0.156954	16.749	24.7647	36.2386	1.13789	1.05689	4.09641	7200.2	0.304287	0.117622	0.180977	0.397114	0.209237	0.249574	0.28386	0.257329	0.288157	0.22612	0.216502	0.26922	1.19687	0.915667	3.48569	1.13876	0.681451	0.970113	5580	1.17796	2954	3305	3717	24504	4.36519	207	319	491	0	0.430093	0.46474	0.0855371	0.0143242	0.00530526	0	0
"H1-2-9.raw"	2012-10-21T00:07:23Z	0.153317	20.1394	29.2795	37.7597	1.0761	1.07172	4.62006	7199.75	0.238667	0.124326	0.257529	0.379479	0.217236	0.279031	0.277951	0.225782	0.274337	0.21167	0.220227	0.293767	1.11877	1.00354	4.03881	0.704785	0.772183	1.21656	5671	1.1784	2599	3038	3475	23696	4.49671	194	331	542	0	0.465564	0.454043	0.0653275	0.0116475	0.0034183	0	0
"H2-1-1.raw"	2012-10-22T12:50:11Z	0.101447	16.9878	26.5808	37.3221	1.22527	1.09899	5.97656	7199.34	0.138732	0.376131	0.259942	0.225195	0.260755	0.243628	0.246087	0.249529	0.164221	0.251864	0.321546	0.262369	0.82588	0.844589	3.75454	0.328505	0.502124	2.54953	8279	1.20792	1861	2042	2321.5	7255	4.03918	182	323	523	0.000137836	0.636664	0.340041	0.0177808	0.00248105	0.00275672	0.000137836	0
"H2-1-10.raw"	2012-10-23T08:35:52Z	0.130043	24.5371	33.874	40.9275	1.04013	1.2096	4.86808	7199.73	0.245093	0.135285	0.300613	0.31901	0.225401	0.261146	0.289276	0.224177	0.238108	0.220165	0.216846	0.324881	1.11136	0.853371	4.43993	0.737872	0.612845	1.61167	6275	1.18423	2487	3020	3611	21662	4.29777	200	330	576	0	0.512095	0.416905	0.0549349	0.0111716	0.00489336	0	0
"H2-1-2.raw"	2012-10-22T15:01:35Z	0.108112	23.4493	32.1365	38.0244	1.00132	0.922156	5.93084	7199.73	0.136531	0.399608	0.241943	0.221919	0.277018	0.241271	0.240666	0.241045	0.138952	0.123899	0.397156	0.339993	0.890944	0.780624	3.34508	0.301682	0.53622	2.72593	8158	1.2075	1889	2087	2331	7039	3.67115	166	268	451	0.000426197	0.732064	0.254582	0.00809774	0.00170479	0.00298338	0.000142066	0
"H2-1-3.raw"	2012-10-22T17:13:28Z	0.131386	27.506	35.0436	39.7146	1.12969	1.10578	5.04942	7199.67	0.112009	0.120948	0.508665	0.258378	0.286971	0.270284	0.2217	0.221045	0.17351	0.132958	0.164408	0.529124	0.937123	0.853047	3.22533	0.457722	0.784088	2.64362	7484	1.20834	1951.75	2252	2498	12155	4.14858	187	306	488	0.000164541	0.684327	0.290004	0.0230358	0.00148087	0.000987248	0	0
"H2-1-4.raw"	2012-10-22T19:25:09Z	0.141945	33.5999	38.7734	43.9331	0.887356	0.906951	4.30849	7199.38	0.207779	0.134394	0.341859	0.315969	0.267692	0.301651	0.226179	0.204478	0.215916	0.173039	0.179743	0.431302	1.05083	0.907654	4.93727	0.789036	0.987011	1.7144	6644	1.20996	2048	2609.5	2861.25	17549	4.79367	194	326	524	0	0.550231	0.37552	0.0642202	0.0082056	0.00182347	0	0
