Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"H-1-2-1.mzML"	2012-10-20T05:19:40Z	0.159207	13.6555	17.6867	24.708	1.05991	1.2997	6.553	7199.38	0.135359	0.279477	0.359832	0.225331	0.26162	0.249443	0.246884	0.242053	0.200814	0.182908	0.235844	0.380434	0.899827	0.795426	3.41392	0.359813	0.547246	2.54327	8259	1.20785	1791	2126	2338	7462	3.80909	162	250	404	0	0.683061	0.305012	0.00844278	0.00134012	0.0021442	0	0
"H1-1-2_121019114606.mzML"	2012-10-19T11:46:05Z	0.152044	16.103	21.7531	31.184	1.25812	1.32823	6.13665	7199.54	0.120701	0.100847	0.461414	0.317038	0.276899	0.244743	0.239415	0.238943	0.14245	0.110845	0.205771	0.540934	0.81295	0.752931	3.46411	0.257286	0.513027	2.95262	8155	1.20873	1911	2161	2376	7511	4.27762	197	329	538	0.000133138	0.748103	0.236453	0.00798828	0.00213021	0.00519238	0	0
"H1-1-1.mzML"	2012-10-20T07:31:33Z	0.163428	11.0857	14.3495	21.6728	0.955139	1.26728	7.1385	7199.42	0.137064	0.284205	0.355619	0.223112	0.256446	0.245827	0.250367	0.24736	0.231223	0.239605	0.240157	0.289015	0.84685	0.780638	3.3453	0.332103	0.547284	2.61841	8138	1.20712	1779.25	2089	2318	8646	3.84549	154	234	379	0	0.588365	0.377053	0.0307657	0.000809623	0.00300717	0	0
"H1-1-3_121019135728.mzML"	2012-10-19T13:57:27Z	0.152783	23.3993	30.2259	37.6279	1.1561	1.36918	5.18224	7199.44	0.116911	0.0861435	0.196912	0.600034	0.28598	0.266451	0.225236	0.222333	0.175178	0.141701	0.200836	0.482286	0.922218	1.07277	5.63981	0.399608	0.887822	2.88035	7535	1.21151	2105	2369	2649.5	12737	4.27744	185	313	500	0	0.627777	0.331318	0.0334459	0.00416111	0.00329748	0	0
"H1-2-2.mzML"	2012-10-20T09:43:29Z	0.149978	14.8366	19.8521	28.9781	1.19549	1.28057	4.20447	7199.08	0.1575	0.431982	0.211881	0.198637	0.267547	0.246323	0.241785	0.244345	0.139134	0.136763	0.28842	0.435683	0.857949	0.772971	4.27303	0.334287	0.593288	2.93788	8284	1.20953	1612	1895	2134	6721	4.36168	158	235	400	0.000297575	0.804493	0.185835	0.00654664	0.000892724	0.00193424	0	0
"H1-1-10_121020030745.mzML"	2012-10-20T03:07:44Z	0.173351	21.7467	27.927	35.2538	1.1666	1.12548	5.19035	7199.43	0.189526	0.0611189	0.189852	0.559503	0.241344	0.310002	0.241394	0.20726	0.246065	0.173004	0.199614	0.381318	1.26741	1.37845	4.9917	0.711759	1.12462	2.40504	6590	1.20657	2136.25	2535	2791.75	17779	3.99111	203	370	613	5.62461e-05	0.594353	0.354632	0.0458406	0.00264357	0.00247483	0	0
"H1-1-5_121019060624.mzML"	2012-10-19T06:06:23Z	0.168922	23.9003	29.7767	34.9895	1.13826	1.14677	4.6664	7199.49	0.113502	0.0560182	0.136184	0.694296	0.269544	0.302315	0.222724	0.205417	0.201059	0.162263	0.20545	0.431228	1.05205	1.30175	5.40616	0.443082	1.26325	2.6586	6841	1.20841	2246	2614	2938	16037	3.92927	201	364	591	0	0.594563	0.351936	0.046268	0.00498846	0.00224481	0	0
"H1-1-9_121020005556.mzML"	2012-10-20T00:55:55Z	0.182456	21.7948	27.4236	33.7073	1.02339	0.99471	4.61762	7200.3	0.117466	0.0664102	0.167043	0.64908	0.241826	0.326231	0.238001	0.193942	0.24488	0.172885	0.191835	0.390401	1.191	1.41438	4.93366	0.801828	1.18365	2.19392	6342	1.2081	2270	2701	2980	18673	4.26915	213	384	626	0	0.545815	0.402774	0.0458951	0.00364162	0.00187436	0	0
"H1-2-3.mzML"	2012-10-20T11:55:24Z	0.167339	24.0275	30.0006	36.8252	1.25886	1.25486	5.28047	7199.13	0.10852	0.0890884	0.447013	0.355379	0.29108	0.256453	0.225964	0.226503	0.154172	0.11278	0.139708	0.59334	0.953058	1.10577	5.70424	0.483741	0.885427	2.81309	7728	1.21035	1742	1998	2237	10416	4.39711	170	285.5	486	9.60061e-05	0.66225	0.303187	0.0294739	0.0031682	0.00182412	0	0
"H1-2-10.mzML"	2012-10-21T03:19:20Z	0.181554	20.0849	26.1988	34.697	1.25209	1.41404	5.5766	7200.26	0.20048	0.114591	0.438283	0.246645	0.213164	0.282545	0.292895	0.211396	0.273919	0.202864	0.214379	0.308838	1.09572	1.03209	4.44682	0.54345	0.770991	1.99862	5830	1.19913	2166	2598.5	2981	21316	4.33108	178	311	528	0	0.497561	0.449521	0.048602	0.00281479	0.00150122	0	0
