Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"Adrenal_Gland_1.raw"	2016-03-09T21:32:48Z	0.120141	34.9674	40.3201	50.9841	0.17783	0.355549	0.41403	1079.7	0.254889	0.20078	0.181843	0.362488	0.594614	0.185759	0.0926237	0.127004	0.351618	0.327093	0.166672	0.154617	0.771692	0.616502	2.57031	0.50045	1.67034	0.731395	2385	6.17622	242	404	661	1415	2.88304	5	13	42	0.985866	0.0120141	0.00212014	0	0	0	0	0
"Adrenal_Gland_10.raw"	2018-03-27T01:10:58Z	0.28959	8.41816	9.47285	11.7465	0.93689	0.971324	3.7919	1799.77	0.753711	0.0538307	0.096701	0.0957575	0.531055	0.256725	0.105968	0.106252	0.195715	0.197858	0.289503	0.316924	1.38158	1.03932	3.21356	0.925685	0.283608	1.83922	6201	8.22357	1127	1272	1316	2949	2.94549	8	16	28	0	0	0	0	0	0	0.837233	0.162767
"Adrenal_Gland_11.raw"	2018-03-27T00:36:50Z	0.283516	8.07245	9.06324	11.1136	1.08667	1.35815	3.94613	1799.76	0.754862	0.052315	0.0968475	0.0959754	0.531437	0.256161	0.106073	0.10633	0.194756	0.197132	0.281913	0.326199	1.32885	1.07425	3.24105	0.942166	0.282184	2.15378	6204	8.22653	1153.75	1279	1320	2924	2.94789	6	14	26	0	0	0	0	0	0	0.814979	0.185021
"Adrenal_Gland_12.raw"	2018-03-26T22:54:23Z	0.296459	8.1785	9.26316	10.8782	0.871933	1.12501	4.19629	1799.82	0.74992	0.0527183	0.0966631	0.100699	0.530315	0.257313	0.10598	0.106392	0.197359	0.198653	0.286807	0.317181	1.34606	0.991187	3.22823	0.866937	0.309631	2.12314	6200	8.23533	1113	1288	1327	2965	2.96576	8	16	29	0	0	0	0	0	0	0.822934	0.177066
"Adrenal_Gland_2.raw"	2016-03-09T21:55:56Z	0.126519	29.3003	35.8581	40.3823	0.11751	0.234115	0.650013	1079.7	0.228649	0.230645	0.181088	0.359618	0.590003	0.188809	0.0943049	0.126882	0.346535	0.329817	0.163186	0.160462	0.783632	0.582228	2.61489	0.452347	1.52504	1.48171	2371	6.08192	254	405	659	1399	2.90344	6	13	45.5	0.988563	0.0114367	0	0	0	0	0	0
"Adrenal_Gland_3.raw"	2016-03-09T22:19:05Z	0.125718	30.5392	32.9311	38.4351	0.262175	0.213104	0.436583	1079.79	0.233866	0.22441	0.180976	0.360747	0.601332	0.180835	0.0905477	0.127285	0.345876	0.329108	0.165152	0.159863	0.772674	0.589447	2.56763	0.482267	1.57984	1.44978	2417	6.36078	244	395	655	1392	2.81931	6	13	46	0.987787	0.0107759	0.00143678	0	0	0	0	0
"Bladder_10.raw"	2018-03-26T14:56:14Z	0.293338	8.04301	9.01303	10.2594	1.12502	1.37036	3.80592	1799.81	0.751044	0.0523305	0.0966156	0.10001	0.530818	0.256948	0.105965	0.106269	0.195337	0.198052	0.279307	0.327304	1.28534	0.962276	3.08694	0.917256	0.286348	2.14333	6214	8.23504	1092.25	1273.5	1317	2942	2.94865	6	15	29	0	0	0	0	0	0	0.843644	0.156356
"Bladder_11.raw"	2018-03-26T19:29:31Z	0.283853	8.20186	9.17633	10.6858	1.07116	1.42153	3.7789	1799.82	0.752438	0.0529262	0.0954897	0.0991461	0.531008	0.256689	0.105943	0.106359	0.194419	0.196929	0.276902	0.331749	1.25313	1.02914	3.20839	0.880525	0.298868	1.9113	6200	8.22874	1146.75	1285	1325	2917	2.91637	5	14	27	0	0	0	0	0	0	0.819335	0.180665
"Bladder_12.raw"	2018-03-26T14:22:06Z	0.289899	7.99872	8.9853	10.5397	1.07147	1.37418	4.04169	1799.77	0.748357	0.0522378	0.0972044	0.102201	0.53055	0.257103	0.106018	0.106328	0.196274	0.200094	0.285295	0.318337	1.24483	0.952888	3.33476	0.914229	0.279359	2.34862	6213	8.24104	1086	1278	1320	2970	2.99191	6	15	30	0	0	0	0	0	0	0.835017	0.164983
"Bladder_2.raw"	2016-03-10T02:33:39Z	0.129335	30.592	34.9793	49.7456	0.385872	0.316016	1.54592	1079.9	0.206549	0.234324	0.18572	0.373407	0.603646	0.18123	0.0892703	0.125853	0.340769	0.332461	0.156727	0.170044	0.773082	0.599943	2.57321	0.551236	1.54864	1.79117	2437	6.62634	228	401	648	1384	2.86661	6	13	43.25	0.989884	0.00939306	0.000722543	0	0	0	0	0
